Gender,Age,Time,Event,Year
M,21,32.44,e3,2019
M,28,32.49,e3,2019
F,14,33.00,e3,2019
M,22,33.12,e3,2019
F,14,33.17,e3,2019
F,14,33.23,e3,2019
M,31,33.38,e3,2019
M,21,33.49,e3,2019
M,24,33.53,e3,2019
M,26,34.00,e3,2019
M,26,34.14,e3,2019
M,16,34.18,e3,2019
M,29,34.29,e3,2019
M,17,34.33,e3,2019
F,17,34.50,e3,2019
F,25,35.12,e3,2019
F,26,35.14,e3,2019
M,32,35.17,e3,2019
F,22,35.35,e3,2019
M,16,35.36,e3,2019
M,26,35.41,e3,2019
M,19,35.49,e3,2019
F,21,35.57,e3,2019
M,24,36.04,e3,2019
F,15,36.27,e3,2019
M,29,36.50,e3,2019
F,27,36.51,e3,2019
F,21,37.00,e3,2019
M,18,37.03,e3,2019
F,34,37.35,e3,2019
M,21,37.36,e3,2019
F,18,37.38,e3,2019
M,16,37.40,e3,2019
M,20,37.43,e3,2019
M,16,37.46,e3,2019
F,25,37.51,e3,2019
F,21,38.02,e3,2019
F,16,38.06,e3,2019
F,25,38.12,e3,2019
M,28,38.41,e3,2019
M,64,38.56,e3,2019
M,14,39.00,e3,2019
M,25,39.19,e3,2019
M,25,39.50,e3,2019
M,25,40.18,e3,2019
F,19,40.42,e3,2019
F,20,40.47,e3,2019
M,18,41.05,e3,2019
F,25,41.09,e3,2019
F,16,41.32,e3,2019
M,17,42.07,e3,2019
M,50,42.22,e3,2019
M,16,42.28,e3,2019
M,29,43.07,e3,2019
F,15,43.10,e3,2019
F,15,43.12,e3,2019
F,14,43.41,e3,2019
M,27,44.50,e3,2019
M,19,45.04,e3,2019
M,18,47.09,e3,2019
M,20,48.24,e3,2019
F,28,49.31,e3,2019
M,27,49.33,e3,2019
M,18,50.03,e3,2019
M,18,50.38,e3,2019
M,29,51.06,e3,2019
F,13,51.53,e3,2019
F,19,51.55,e3,2019
F,14,52.00,e3,2019
F,22,54.14,e3,2019
M,16,55.06,e3,2019
M,16,59.13,e3,2019
M,24,19.42,e3,2017
M,19,19.45,e3,2017
F,18,19.57,e3,2017
M,19,20.29,e3,2017
M,24,21.07,e3,2017
F,19,21.55,e3,2017
M,25,22.01,e3,2017
M,14,22.47,e3,2017
M,25,24.53,e3,2017
M,29,24.55,e3,2017
M,17,25.02,e3,2017
M,21,25.05,e3,2017
F,24,25.37,e3,2017
M,20,25.48,e3,2017
M,16,26.00,e3,2017
M,19,26.03,e3,2017
F,23,26.08,e3,2017
M,23,26.26,e3,2017
M,17,26.31,e3,2017
M,26,26.35,e3,2017
M,14,26.46,e3,2017
F,22,26.54,e3,2017
