Gender,Age,Time,Event,Year
F,12,48.50,e1,2017
F,11,49.23,e1,2017
F,51,49.25,e1,2017
F,52,49.53,e1,2017
F,13,50.09,e1,2017
M,56,51.05,e1,2017
F,54,51.17,e1,2017
F,42,51.20,e1,2017
F,35,53.37,e1,2017
F,35,58.27,e1,2017
F,13,26.24,e1,2018
F,49,26.35,e1,2018
F,12,28.10,e1,2018
F,13,28.13,e1,2018
F,12,29.08,e1,2018
F,13,29.48,e1,2018
F,13,30.05,e1,2018
F,45,31.35,e1,2018
F,48,31.38,e1,2018
F,36,31.43,e1,2018
F,11,31.50,e1,2018
F,11,31.58,e1,2018
F,39,32.05,e1,2018
F,49,32.34,e1,2018
F,13,32.48,e1,2018
F,59,33.00,e1,2018
F,34,33.35,e1,2018
F,55,34.05,e1,2018
F,47,34.08,e1,2018
F,13,34.51,e1,2018
F,31,34.55,e1,2018
F,13,34.59,e1,2018
F,34,35.16,e1,2018
F,45,35.34,e1,2018
F,34,35.49,e1,2018
F,58,35.59,e1,2018
F,35,36.09,e1,2018
F,44,36.12,e1,2018
F,12,36.28,e1,2018
F,42,36.30,e1,2018
F,39,36.33,e1,2018
F,50,36.48,e1,2018
F,11,36.54,e1,2018
F,48,36.55,e1,2018
F,43,37.25,e1,2018
F,11,38.03,e1,2018
M,44,38.05,e1,2018
F,32,39.07,e1,2018
F,37,39.09,e1,2018
F,31,39.30,e1,2018
F,42,39.38,e1,2018
F,45,39.41,e1,2018
F,34,39.53,e1,2018
F,42,39.54,e1,2018
F,41,39.59,e1,2018
F,31,40.02,e1,2018
F,46,40.08,e1,2018
F,31,40.10,e1,2018
F,31,40.13,e1,2018
F,33,40.30,e1,2018
F,41,40.43,e1,2018
F,57,40.59,e1,2018
F,54,41.01,e1,2018
F,48,41.53,e1,2018
F,13,42.08,e1,2018
F,35,42.15,e1,2018
F,56,42.28,e1,2018
F,12,42.57,e1,2018
F,12,42.58,e1,2018
F,10,43.16,e1,2018
F,44,43.18,e1,2018
F,13,44.34,e1,2018
F,49,45.03,e1,2018
F,55,45.09,e1,2018
F,63,46.02,e1,2018
F,54,46.04,e1,2018
F,58,47.33,e1,2018
F,9,47.54,e1,2018
F,10,47.56,e1,2018
F,44,48.37,e1,2018
F,57,48.40,e1,2018
F,34,49.03,e1,2018
F,12,49.19,e1,2018
F,46,49.38,e1,2018
F,60,50.18,e1,2018
F,52,51.23,e1,2018
F,32,55.04,e1,2018
F,38,23.57,e1,2019
F,12,25.49,e1,2019
F,13,26.02,e1,2019
F,34,27.06,e1,2019
F,44,29.05,e1,2019
F,46,29.50,e1,2019
F,47,29.52,e1,2019
F,12,29.54,e1,2019
F,32,29.57,e1,2019
F,60,30.02,e1,2019
F,12,30.57,e1,2019
F,12,31.11,e1,2019
F,12,31.43,e1,2019
F,33,32.22,e1,2019
F,11,32.30,e1,2019
F,13,32.32,e1,2019
F,11,32.44,e1,2019
F,48,32.51,e1,2019
F,52,33.10,e1,2019
F,35,33.24,e1,2019
F,43,33.38,e1,2019
M,64,33.42,e1,2019
F,11,33.46,e1,2019
F,13,33.49,e1,2019
M,30,33.57,e1,2019
F,50,34.52,e1,2019
F,45,35.10,e1,2019
M,49,35.16,e1,2019
F,36,35.18,e1,2019
F,44,35.20,e1,2019
F,40,35.22,e1,2019
F,46,35.28,e1,2019
F,24,35.29,e1,2019
F,53,35.31,e1,2019
F,12,35.37,e1,2019
F,53,35.38,e1,2019
M,46,35.39,e1,2019
F,34,35.49,e1,2019
F,13,35.55,e1,2019
F,30,36.06,e1,2019
F,50,36.42,e1,2019
F,46,37.10,e1,2019
F,37,37.15,e1,2019
F,27,37.33,e1,2019
F,26,37.35,e1,2019
F,55,37.42,e1,2019
F,31,37.55,e1,2019
F,11,37.59,e1,2019
F,56,38.05,e1,2019
F,11,38.25,e1,2019
F,45,38.27,e1,2019
F,49,38.33,e1,2019
F,45,38.39,e1,2019
F,32,38.41,e1,2019
F,46,38.44,e1,2019
M,47,38.50,e1,2019
F,57,38.52,e1,2019
F,13,39.01,e1,2019
F,48,39.08,e1,2019
F,34,39.13,e1,2019
F,37,39.21,e1,2019
F,34,40.08,e1,2019
F,42,40.10,e1,2019
F,31,40.17,e1,2019
F,36,40.59,e1,2019
F,11,42.17,e1,2019
F,11,42.37,e1,2019
F,11,42.42,e1,2019
F,11,42.51,e1,2019
F,10,42.52,e1,2019
F,57,43.14,e1,2019
F,50,43.29,e1,2019
F,52,43.32,e1,2019
F,42,43.46,e1,2019
F,34,43.58,e1,2019
F,57,44.12,e1,2019
F,51,44.14,e1,2019
F,33,44.56,e1,2019
F,53,45.10,e1,2019
F,10,45.14,e1,2019
M,41,45.17,e1,2019
F,56,45.34,e1,2019
F,29,45.36,e1,2019
F,37,46.32,e1,2019
F,49,47.15,e1,2019
F,35,47.28,e1,2019
F,47,47.54,e1,2019
F,46,48.28,e1,2019
F,59,48.39,e1,2019
M,63,49.48,e1,2019
F,50,51.25,e1,2019
F,33,53.24,e1,2019
F,35,55.27,e1,2019
